fid,objectid,ipedsid,name,address,city,state,zip,zip4,telephone,type,status,population,county,countyfips,country,latitude,longitude,naics_code,naics_desc,source,sourcedate,val_method,val_date,website,stfips,cofips,sector,level,hi_offer,deg_grant,locale,close_date,merge_id,alias,size_set,inst_size,pt_enroll,ft_enroll,tot_enroll,housing,dorm_cap,tot_emp,shelter_id
1,"2041","441131",THE SEATTLE SCHOOL OF THEOLOGY & PSYCHOLOGY,2501 ELLIOTT AVENUE,SEATTLE,WA,"98121",NOT AVAILABLE,(206) 876-6132,"2",A,"384",KING,"53033",USA,"47.613373453000065","-122.35094540699998","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=441131,2009/10/13 02:00:00,IMAGERY,2016/08/02 02:00:00,www.theseattleschool.edu/,"53","033","2","3","20","1","11","-2","-2",THE SEATTLE SCHOOL,"26","1","66","200","266","2","-999","118",NOT AVAILABLE
2,"2662","449889",AMERICAN COLLEGE OF EDUCATION,"101 WEST OHIO STREET, SUITE 1200",INDIANAPOLIS,IN,"46204",NOT AVAILABLE,(800) 280-0307,"3",A,"8517",MARION,"18097",USA,"39.76982362900003","-86.16004661199997","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=449889,2011/06/02 02:00:00,IMAGERY/OTHER,2019/03/07 01:00:00,www.ace.edu/,"18","097","3","2","12","1","11","-2","-2",NOT AVAILABLE,"32","3","-999","8112","8112","2","-999","405",NOT AVAILABLE
3,"1074","139940",GEORGIA STATE UNIVERSITY,33 GILMER ST,ATLANTA,GA,"30303","3083",(404) 413-2000,"1",A,"41786",FULTON,"13121",USA,"33.75269953700007","-84.38666979499999","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=139940,2009/12/10 01:00:00,IMAGERY,2016/07/26 02:00:00,www.gsu.edu/,"13","121","1","1","11","1","11","-2","-2",NOT AVAILABLE,"15","5","8533","27827","36360","1","5414","5426",NOT AVAILABLE
4,"1515","413413",CAPELLA UNIVERSITY,"225 SOUTH 6TH STREET, 9TH FLOOR",MINNEAPOLIS,MN,"55402","3389",(866) 808-4080,"3",A,"40828",HENNEPIN,"27053",USA,"44.976185978000046","-93.26871350799996","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=413413,2009/10/13 02:00:00,IMAGERY,2016/06/16 02:00:00,www.capella.edu/,"27","053","3","1","12","1","11","-2","-2",NOT AVAILABLE,"17","5","31439","7491","38930","2","-999","1898",NOT AVAILABLE
5,"5470","236595",SEATTLE UNIVERSITY,900 BROADWAY,SEATTLE,WA,"98122","4340",(206) 296-6000,"2",A,"8581",KING,"53033",USA,"47.61013789500004","-122.319699905","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=236595,2009/10/13 02:00:00,IMAGERY,2016/08/02 02:00:00,www.seattleu.edu/,"53","033","2","2","11","1","11","-2","-2",SEATTLE U,"18","3","1420","5630","7050","1","2448","1531",NOT AVAILABLE
6,"5927","444699",INSTITUTE OF CLINICAL ACUPUNCTURE & ORIENTAL MED,"100 N. BERETANIA STREET, SUITE 203B",HONOLULU,HI,"96817",NOT AVAILABLE,(808) 521-2288,"3",A,"74",HONOLULU,"15003",USA,"21.313924490000034","-157.86087907399997","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=444699,2009/10/13 02:00:00,GEOCODE,2016/06/20 02:00:00,www.orientalmedicine.edu/,"15","003","3","1","20","1","11","-2","-2",NOT AVAILABLE,"26","1","3","51","54","2","-999","20",NOT AVAILABLE
7,"6166","211893",CURTIS INSTITUTE OF MUSIC,1726 LOCUST ST,PHILADELPHIA,PA,"19103",NOT AVAILABLE,(215) 435-1698,"2",A,"313",PHILADELPHIA,"42101",USA,"39.94857108200006","-75.17094964499995","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=211893,2009/10/13 02:00:00,IMAGERY/OTHER,2016/07/05 02:00:00,www.curtis.edu/,"42","101","2","1","20","1","11","-2","-2",NOT AVAILABLE,"30","1","-999","145","145","1","87","168",NOT AVAILABLE
8,"4852","168005",SUFFOLK UNIVERSITY,73 TREMONT ST.,BOSTON,MA,"02108","3901",(617) 573-8754,"2",A,"8115",SUFFOLK,"25025",USA,"42.35801020900004","-71.06098451499997","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=168005,2009/10/13 02:00:00,IMAGERY,2016/06/28 02:00:00,https://www.suffolk.edu/,"25","025","2","2","11","1","11","-2","-2",NOT AVAILABLE,"17","3","1352","5478","6830","1","1545","1285",NOT AVAILABLE
9,"1208","146241",THE JOHN MARSHALL LAW SCHOOL,315 S PLYMOUTH CT,CHICAGO,IL,"60604",NOT AVAILABLE,NOT AVAILABLE,"2",C,"-999",COOK,"17031",USA,"41.87760217400006","-87.62845183899998","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=146241,2009/10/13 02:00:00,IMAGERY/OTHER,2015/12/01 01:00:00,NOT AVAILABLE,"17","031","2","2","13","1","11","-2","145600",NOT AVAILABLE,"31","-2","-999","-999","-999","-1","-999","-999",NOT AVAILABLE
10,"2281","449764",VISIBLE MUSIC COLLEGE,200 MADISON AVE,MEMPHIS,TN,"38103",NOT AVAILABLE,(901) 381-3939,"2",A,"281",SHELBY,"47157",USA,"35.14458600000006","-90.04938099999998","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=449764,2009/12/31 01:00:00,IMAGERY/OTHER,2019/03/27 01:00:00,www.visible.edu/,"47","157","2","1","20","1","11","-2","-2",NOT AVAILABLE,"30","1","112","97","209","1","127","72",NOT AVAILABLE
11,"2908","144883",EAST-WEST UNIVERSITY,816 S MICHIGAN AVE,CHICAGO,IL,"60605",NOT AVAILABLE,(312) 939-0111,"2",A,"475",COOK,"17031",USA,"41.87130881100006","-87.62479272699994","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=144883,2009/10/13 02:00:00,IMAGERY/OTHER,2016/06/24 02:00:00,www.eastwest.edu/,"17","031","2","1","30","1","11","-2","-2",NOT AVAILABLE,"21","1","5","414","419","2","-999","56",NOT AVAILABLE
12,"4573","245883",ANTIOCH UNIVERSITY-SEATTLE,2326 6TH AVE,SEATTLE,WA,"98121","1814",(206) 441-5352,"2",A,"885",KING,"53033",USA,"47.617190711000035","-122.34251152299998","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=245883,2009/10/13 02:00:00,IMAGERY/OTHER,2015/08/25 02:00:00,www.antiochseattle.edu/,"53","033","2","3","13","1","11","-2","-2",NOT AVAILABLE,"19","1","294","441","735","2","-999","150",NOT AVAILABLE
